==================================================
HEADER
File name: peer_-AA0001-CayCvSVKNw5L.log
Creation Date/Time: 2026-08-08 11:55:07
Last Modified Date/Time: 2026-08-08 11:58:54
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 11:55:07  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 11:55:07  | Peer listening for direct connections on port 6882
PING_SEND       | 2026-08-08 11:55:08  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:08  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6881 | RTT: 12.00 ms
PING_SEND       | 2026-08-08 11:55:09  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:09  | [Transferring_These_Files] Received PONG from 127.0.0.1:6881 | RTT: 10.93 ms
SYSTEM_READY    | 2026-08-08 11:55:10  | All torrent threads processed. Entering heartbeat loop.
HEARTBEAT_SYNC  | 2026-08-08 11:55:15  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:55:15  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:15  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 22.30 ms
HEARTBEAT_SYNC  | 2026-08-08 11:55:20  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:55:20  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:20  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 18.01 ms
HEARTBEAT_SYNC  | 2026-08-08 11:55:25  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:55:25  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:25  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 16.03 ms
HEARTBEAT_SYNC  | 2026-08-08 11:55:30  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:55:30  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:30  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 10.69 ms
HEARTBEAT_SYNC  | 2026-08-08 11:55:35  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:55:35  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:35  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 11.60 ms
PING_RECV       | 2026-08-08 11:55:37  | Received PING from ('127.0.0.1', 7673)
ANNOUNCE        | 2026-08-08 11:55:38  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
PING_RECV       | 2026-08-08 11:55:38  | Received PING from ('127.0.0.1', 7676)
ANNOUNCE        | 2026-08-08 11:55:39  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 11:55:40  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:55:40  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:40  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 12.75 ms
HEARTBEAT_SYNC  | 2026-08-08 11:55:45  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:55:45  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:55:45  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 15.54 ms
