==================================================
HEADER
File name: peer_-AA0001-EifQJZAyj0JB.log
Creation Date/Time: 2026-08-08 11:36:56
Last Modified Date/Time: 2026-08-08 11:48:32
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
LISTENER_START  | 2026-08-08 11:36:56  | Peer listening for direct connections on port 6881
PING_RECV       | 2026-08-08 11:37:17  | Received PING from ('127.0.0.1', 7122)
PING_RECV       | 2026-08-08 11:37:18  | Received PING from ('127.0.0.1', 7126)
ANNOUNCE        | 2026-08-08 11:37:27  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 11:37:27  | [Transferring_These_Files/sample3.png] Discovered new peer 127.0.0.1:6882 from tracker update
PING_SEND       | 2026-08-08 11:37:27  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 11:37:27  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6882 | RTT: 15.34 ms
ANNOUNCE        | 2026-08-08 11:37:28  | [Transferring_These_Files] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 11:37:28  | [Transferring_These_Files] Discovered new peer 127.0.0.1:6882 from tracker update
PING_SEND       | 2026-08-08 11:37:28  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 11:37:28  | [Transferring_These_Files] Received PONG from 127.0.0.1:6882 | RTT: 16.12 ms
ANNOUNCE        | 2026-08-08 11:37:57  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:37:58  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:38:27  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:38:28  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:38:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:38:59  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:39:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:39:29  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:39:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:39:59  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:40:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:40:29  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:40:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:40:59  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:41:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:41:29  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:41:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:41:59  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:42:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:42:29  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:42:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:42:59  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:43:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:43:29  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:43:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:43:59  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:44:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:44:29  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:44:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:44:59  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:45:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:45:29  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:45:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:46:00  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:46:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:46:30  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:46:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:47:00  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:47:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:47:30  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:47:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:48:00  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:48:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:48:30  | [Transferring_These_Files] Sending periodic update to tracker...
ERROR           | 2026-08-08 11:48:31  | [Transferring_These_Files/sample3.png] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
ERROR           | 2026-08-08 11:48:32  | [Transferring_These_Files] Periodic announce failed: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
