==================================================
HEADER
File name: peer_-AA0001-Klj4RZNXYos5.log
Creation Date/Time: 2026-08-08 12:07:17
Last Modified Date/Time: 2026-08-08 12:17:31
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 12:07:17  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 12:07:17  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 12:07:17  | Peer listening for direct connections on port 6883
PING_SEND       | 2026-08-08 12:07:19  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:07:19  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6881 | RTT: 9.71 ms
PING_SEND       | 2026-08-08 12:07:19  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:07:19  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6882 | RTT: 14.65 ms
PING_SEND       | 2026-08-08 12:07:20  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:07:20  | [Transferring_These_Files] Received PONG from 127.0.0.1:6881 | RTT: 14.80 ms
PING_SEND       | 2026-08-08 12:07:20  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:07:20  | [Transferring_These_Files] Received PONG from 127.0.0.1:6882 | RTT: 12.21 ms
SYSTEM_READY    | 2026-08-08 12:07:20  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 12:07:26  | Received PING from ('127.0.0.1', 8114)
PING_RECV       | 2026-08-08 12:07:27  | Received PING from ('127.0.0.1', 8117)
PING_RECV       | 2026-08-08 12:07:28  | Received PING from ('127.0.0.1', 8121)
PING_RECV       | 2026-08-08 12:07:39  | Received PING from ('127.0.0.1', 8130)
PING_RECV       | 2026-08-08 12:07:40  | Received PING from ('127.0.0.1', 8132)
PING_RECV       | 2026-08-08 12:07:41  | Received PING from ('127.0.0.1', 8136)
ANNOUNCE        | 2026-08-08 12:07:49  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:07:50  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:07:51  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:07:51  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:07:51  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 13.78 ms
PING_SEND       | 2026-08-08 12:07:51  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
