==================================================
HEADER
File name: peer_-AA0001-Yyf788BMxpHy.log
Creation Date/Time: 2026-08-08 12:06:08
Last Modified Date/Time: 2026-08-08 12:17:33
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 12:06:08  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 12:06:08  | Peer listening for direct connections on port 6882
PING_SEND       | 2026-08-08 12:06:09  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:06:09  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6881 | RTT: 11.53 ms
PING_SEND       | 2026-08-08 12:06:10  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:06:10  | [Transferring_These_Files] Received PONG from 127.0.0.1:6881 | RTT: 22.37 ms
SYSTEM_READY    | 2026-08-08 12:06:11  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 12:06:26  | Received PING from ('127.0.0.1', 8072)
PING_RECV       | 2026-08-08 12:06:27  | Received PING from ('127.0.0.1', 8074)
PING_RECV       | 2026-08-08 12:06:28  | Received PING from ('127.0.0.1', 8075)
ANNOUNCE        | 2026-08-08 12:06:39  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:06:40  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:06:41  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:06:41  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:06:41  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 20.68 ms
PING_RECV       | 2026-08-08 12:06:58  | Received PING from ('127.0.0.1', 8093)
ANNOUNCE        | 2026-08-08 12:07:09  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:07:10  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:07:11  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:07:11  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:07:11  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 14.89 ms
PING_RECV       | 2026-08-08 12:07:19  | Received PING from ('127.0.0.1', 8105)
PING_RECV       | 2026-08-08 12:07:20  | Received PING from ('127.0.0.1', 8108)
PING_RECV       | 2026-08-08 12:07:28  | Received PING from ('127.0.0.1', 8119)
ANNOUNCE        | 2026-08-08 12:07:39  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 12:07:39  | [Transferring_These_Files/sample3.png] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 12:07:39  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:07:39  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6883 | RTT: 13.06 ms
ANNOUNCE        | 2026-08-08 12:07:40  | [Transferring_These_Files] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 12:07:40  | [Transferring_These_Files] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 12:07:40  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:07:40  | [Transferring_These_Files] Received PONG from 127.0.0.1:6883 | RTT: 16.78 ms
HEARTBEAT_SYNC  | 2026-08-08 12:07:41  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:07:41  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
