==================================================
HEADER
File name: peer_-AA0001-aH4k4UU0H37Z.log
Creation Date/Time: 2026-08-08 12:23:58
Last Modified Date/Time: 2026-08-08 12:26:10
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 12:23:58  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 12:23:58  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 12:23:58  | Peer listening for direct connections on port 6883
PING_SEND       | 2026-08-08 12:23:59  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:23:59  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6881 | RTT: 11.97 ms
PING_SEND       | 2026-08-08 12:23:59  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:23:59  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6882 | RTT: 13.73 ms
PING_RECV       | 2026-08-08 12:23:59  | Received PING from ('127.0.0.1', 8959)
PING_SEND       | 2026-08-08 12:24:00  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:24:00  | [Transferring_These_Files] Received PONG from 127.0.0.1:6881 | RTT: 14.28 ms
PING_SEND       | 2026-08-08 12:24:00  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:24:00  | [Transferring_These_Files] Received PONG from 127.0.0.1:6882 | RTT: 17.86 ms
PING_RECV       | 2026-08-08 12:24:00  | Received PING from ('127.0.0.1', 8967)
SYSTEM_READY    | 2026-08-08 12:24:01  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 12:24:01  | Received PING from ('127.0.0.1', 8969)
PING_RECV       | 2026-08-08 12:24:13  | Received PING from ('127.0.0.1', 8987)
PING_RECV       | 2026-08-08 12:24:15  | Received PING from ('127.0.0.1', 8991)
PING_RECV       | 2026-08-08 12:24:15  | Received PING from ('127.0.0.1', 8993)
ANNOUNCE        | 2026-08-08 12:24:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:24:30  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:24:31  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:24:31  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_FAIL       | 2026-08-08 12:24:33  | [Heartbeat] Failed to ping 127.0.0.1:6881 - timed out
PING_SEND       | 2026-08-08 12:24:33  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:24:33  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 15.34 ms
PING_RECV       | 2026-08-08 12:24:33  | Received PING from ('127.0.0.1', 9013)
ANNOUNCE        | 2026-08-08 12:24:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:25:00  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:25:03  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:25:03  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_FAIL       | 2026-08-08 12:25:05  | [Heartbeat] Failed to ping 127.0.0.1:6881 - timed out
PING_SEND       | 2026-08-08 12:25:05  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:25:05  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 18.09 ms
PING_RECV       | 2026-08-08 12:25:05  | Received PING from ('127.0.0.1', 9033)
ANNOUNCE        | 2026-08-08 12:25:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:25:30  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:25:35  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:25:35  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_FAIL       | 2026-08-08 12:25:37  | [Heartbeat] Failed to ping 127.0.0.1:6881 - timed out
PING_SEND       | 2026-08-08 12:25:37  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:25:37  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 15.17 ms
PING_RECV       | 2026-08-08 12:25:37  | Received PING from ('127.0.0.1', 9069)
ANNOUNCE        | 2026-08-08 12:25:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:26:00  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:26:07  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:26:07  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_FAIL       | 2026-08-08 12:26:09  | [Heartbeat] Failed to ping 127.0.0.1:6881 - timed out
PING_SEND       | 2026-08-08 12:26:09  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:26:09  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 12.06 ms
PING_RECV       | 2026-08-08 12:26:10  | Received PING from ('127.0.0.1', 9236)
SHUTDOWN_INIT   | 2026-08-08 12:26:10  | Keyboard interrupt received. Deregistering from tracker.
