==================================================
HEADER
File name: peer_-AA0001-lyY8i2fmn47q.log
Creation Date/Time: 2026-08-08 13:10:47
Last Modified Date/Time: 2026-08-08 13:45:05
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 13:10:47  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 13:10:47  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 13:10:47  | Peer listening for direct connections on port 6883
FILE_CHECK      | 2026-08-08 13:10:48  | Determined status as LEECHER for Transferring_These_Files/sample3.png
PING_RECV       | 2026-08-08 13:10:48  | Received PING from ('127.0.0.1', 11066)
FILE_CHECK      | 2026-08-08 13:10:49  | Determined status as LEECHER for Transferring_These_Files
PING_RECV       | 2026-08-08 13:10:49  | Received PING from ('127.0.0.1', 11073)
SYSTEM_READY    | 2026-08-08 13:10:50  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 13:10:50  | Received PING from ('127.0.0.1', 11075)
SHUTDOWN_INIT   | 2026-08-08 13:10:52  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:11:45  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 13:11:45  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 13:11:45  | Peer listening for direct connections on port 6883
FILE_CHECK      | 2026-08-08 13:11:46  | Determined status as SEEDER for Transferring_These_Files/sample3.png
HANDSHAKE_SEND  | 2026-08-08 13:11:46  | [Transferring_These_Files/sample3.png] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:11:46  | [Transferring_These_Files/sample3.png] Handshake successful with -AA0001-WL99b7svcXnQ
FILE_CHECK      | 2026-08-08 13:11:47  | Determined status as LEECHER for Transferring_These_Files
HANDSHAKE_SEND  | 2026-08-08 13:11:47  | [Transferring_These_Files] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:11:47  | [Transferring_These_Files] Handshake successful with -AA0001-WL99b7svcXnQ
SYSTEM_READY    | 2026-08-08 13:11:48  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 13:11:58  | Received PING from ('127.0.0.1', 11113)
PING_RECV       | 2026-08-08 13:11:59  | Received PING from ('127.0.0.1', 11116)
PING_RECV       | 2026-08-08 13:12:00  | Received PING from ('127.0.0.1', 11119)
ANNOUNCE        | 2026-08-08 13:12:16  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:12:17  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:12:18  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:12:18  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:12:18  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 28.00 ms
PING_RECV       | 2026-08-08 13:12:30  | Received PING from ('127.0.0.1', 11138)
SHUTDOWN_INIT   | 2026-08-08 13:12:42  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:17:45  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 13:17:45  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 13:17:45  | Peer listening for direct connections on port 6883
FILE_CHECK      | 2026-08-08 13:17:46  | Determined status as SEEDER for Transferring_These_Files/sample3.png
HANDSHAKE_SEND  | 2026-08-08 13:17:46  | [Transferring_These_Files/sample3.png] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:17:47  | [Transferring_These_Files/sample3.png] Handshake successful with -AA0001-WL99b7svcXnQ
FILE_CHECK      | 2026-08-08 13:17:47  | Determined status as LEECHER for Transferring_These_Files
HANDSHAKE_SEND  | 2026-08-08 13:17:47  | [Transferring_These_Files] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:17:48  | [Transferring_These_Files] Handshake successful with -AA0001-WL99b7svcXnQ
SYSTEM_READY    | 2026-08-08 13:17:48  | All torrent threads processed. Entering heartbeat loop.
SHUTDOWN_INIT   | 2026-08-08 13:18:01  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:18:17  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 13:18:17  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 13:18:17  | Peer listening for direct connections on port 6883
FILE_CHECK      | 2026-08-08 13:18:18  | Determined status as SEEDER for Transferring_These_Files/sample3.png
HANDSHAKE_SEND  | 2026-08-08 13:18:18  | [Transferring_These_Files/sample3.png] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:18:18  | [Transferring_These_Files/sample3.png] Handshake successful with -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:18:18  | Received Bitfield from 127.0.0.1:6882
FILE_CHECK      | 2026-08-08 13:18:19  | Determined status as LEECHER for Transferring_These_Files
HANDSHAKE_SEND  | 2026-08-08 13:18:19  | [Transferring_These_Files] Initiating handshake with 127.0.0.1:6882
HANDSHAKE_SUCCESS | 2026-08-08 13:18:19  | [Transferring_These_Files] Handshake successful with -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:18:19  | Received Bitfield from 127.0.0.1:6882
SYSTEM_READY    | 2026-08-08 13:18:20  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 13:18:39  | Received PING from ('127.0.0.1', 11354)
PING_RECV       | 2026-08-08 13:18:40  | Received PING from ('127.0.0.1', 11359)
PING_RECV       | 2026-08-08 13:18:41  | Received PING from ('127.0.0.1', 11361)
ANNOUNCE        | 2026-08-08 13:18:48  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:18:49  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:18:50  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:18:50  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:18:50  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 13.84 ms
PING_RECV       | 2026-08-08 13:19:11  | Received PING from ('127.0.0.1', 11377)
ANNOUNCE        | 2026-08-08 13:19:18  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:19:19  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:19:20  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:19:20  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:19:20  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 20.09 ms
PING_RECV       | 2026-08-08 13:19:41  | Received PING from ('127.0.0.1', 11398)
ANNOUNCE        | 2026-08-08 13:19:48  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:19:49  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:19:50  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:19:50  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:19:50  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 19.81 ms
PING_RECV       | 2026-08-08 13:20:11  | Received PING from ('127.0.0.1', 11412)
ANNOUNCE        | 2026-08-08 13:20:19  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:20:19  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:20:21  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:20:21  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:20:21  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 14.32 ms
PING_RECV       | 2026-08-08 13:20:46  | Received PING from ('127.0.0.1', 11429)
ANNOUNCE        | 2026-08-08 13:20:49  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:20:49  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:20:51  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:20:51  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:20:51  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 13.73 ms
PING_RECV       | 2026-08-08 13:21:16  | Received PING from ('127.0.0.1', 11444)
ANNOUNCE        | 2026-08-08 13:21:19  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:21:19  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:21:21  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:21:21  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:21:21  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 19.47 ms
PING_RECV       | 2026-08-08 13:21:46  | Received PING from ('127.0.0.1', 11473)
ANNOUNCE        | 2026-08-08 13:21:49  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:21:50  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:21:51  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:21:51  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:21:52  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 17.36 ms
PING_RECV       | 2026-08-08 13:22:16  | Received PING from ('127.0.0.1', 11486)
ANNOUNCE        | 2026-08-08 13:22:19  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:22:20  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:22:22  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:22:22  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:22:22  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 13.49 ms
PING_RECV       | 2026-08-08 13:22:46  | Received PING from ('127.0.0.1', 11504)
ANNOUNCE        | 2026-08-08 13:22:49  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:22:50  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:22:52  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:22:52  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:22:52  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 26.59 ms
PING_RECV       | 2026-08-08 13:23:16  | Received PING from ('127.0.0.1', 11524)
ANNOUNCE        | 2026-08-08 13:23:19  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:23:20  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:23:22  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:23:22  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:23:22  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 10.15 ms
PING_RECV       | 2026-08-08 13:23:46  | Received PING from ('127.0.0.1', 11552)
ANNOUNCE        | 2026-08-08 13:23:49  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
