==================================================
HEADER
File name: peer_-AA0001-mf7CPFSQWZZa.log
Creation Date/Time: 2026-08-08 12:28:46
Last Modified Date/Time: 2026-08-08 12:38:01
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 12:28:46  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 12:28:46  | Peer listening for direct connections on port 6882
PING_SEND       | 2026-08-08 12:28:47  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:28:47  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6881 | RTT: 11.09 ms
PING_SEND       | 2026-08-08 12:28:48  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:28:48  | [Transferring_These_Files] Received PONG from 127.0.0.1:6881 | RTT: 18.15 ms
SYSTEM_READY    | 2026-08-08 12:28:49  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 12:29:06  | Received PING from ('127.0.0.1', 9391)
PING_RECV       | 2026-08-08 12:29:07  | Received PING from ('127.0.0.1', 9394)
PING_RECV       | 2026-08-08 12:29:07  | Received PING from ('127.0.0.1', 9397)
ANNOUNCE        | 2026-08-08 12:29:17  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:29:18  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:29:19  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:29:19  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:29:19  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 14.01 ms
PING_RECV       | 2026-08-08 12:29:28  | Received PING from ('127.0.0.1', 9419)
PING_RECV       | 2026-08-08 12:29:29  | Received PING from ('127.0.0.1', 9424)
PING_RECV       | 2026-08-08 12:29:38  | Received PING from ('127.0.0.1', 9437)
ANNOUNCE        | 2026-08-08 12:29:47  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 12:29:47  | [Transferring_These_Files/sample3.png] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 12:29:47  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:29:47  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6883 | RTT: 11.88 ms
ANNOUNCE        | 2026-08-08 12:29:48  | [Transferring_These_Files] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 12:29:48  | [Transferring_These_Files] Discovered new peer 127.0.0.1:6883 from tracker update
