==================================================
HEADER
File name: peer_-AA0001-oOSDLc0Z773X.log
Creation Date/Time: 2026-08-08 11:59:25
Last Modified Date/Time: 2026-08-08 12:04:15
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 11:59:25  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 11:59:25  | Peer listening for direct connections on port 6882
PING_SEND       | 2026-08-08 11:59:26  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:59:26  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6881 | RTT: 9.86 ms
PING_SEND       | 2026-08-08 11:59:27  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:59:27  | [Transferring_These_Files] Received PONG from 127.0.0.1:6881 | RTT: 10.50 ms
SYSTEM_READY    | 2026-08-08 11:59:28  | All torrent threads processed. Entering heartbeat loop.
HEARTBEAT_SYNC  | 2026-08-08 11:59:38  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:59:38  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:59:38  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 15.26 ms
HEARTBEAT_SYNC  | 2026-08-08 11:59:48  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 11:59:48  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 11:59:48  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 20.56 ms
PING_RECV       | 2026-08-08 11:59:52  | Received PING from ('127.0.0.1', 7861)
PING_RECV       | 2026-08-08 11:59:53  | Received PING from ('127.0.0.1', 7863)
ANNOUNCE        | 2026-08-08 11:59:56  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 11:59:57  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:00:26  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:00:27  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:00:56  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:00:57  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:01:26  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:01:27  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:01:56  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:01:57  | [Transferring_These_Files] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:02:26  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:02:27  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:02:30  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:02:30  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:02:30  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 12.57 ms
HEARTBEAT_SYNC  | 2026-08-08 12:02:40  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:02:40  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:02:41  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 12.83 ms
HEARTBEAT_SYNC  | 2026-08-08 12:02:51  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:02:51  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:02:51  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 11.00 ms
ANNOUNCE        | 2026-08-08 12:02:56  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:02:57  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:03:01  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:03:01  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:03:01  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 10.85 ms
HEARTBEAT_SYNC  | 2026-08-08 12:03:11  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:03:11  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:03:11  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 16.24 ms
HEARTBEAT_SYNC  | 2026-08-08 12:03:21  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:03:21  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:03:21  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 18.88 ms
ANNOUNCE        | 2026-08-08 12:03:26  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:03:27  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:03:31  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:03:31  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:03:31  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 20.12 ms
HEARTBEAT_SYNC  | 2026-08-08 12:03:41  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:03:41  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:03:41  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 18.15 ms
HEARTBEAT_SYNC  | 2026-08-08 12:03:51  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:03:51  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:03:51  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 15.73 ms
