==================================================
HEADER
File name: peer_-AA0001-pIx1hRtqia2P.log
Creation Date/Time: 2026-08-08 12:29:27
Last Modified Date/Time: 2026-08-08 12:37:59
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 12:29:27  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 12:29:27  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 12:29:27  | Peer listening for direct connections on port 6883
PING_SEND       | 2026-08-08 12:29:28  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:29:28  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6881 | RTT: 14.02 ms
PING_SEND       | 2026-08-08 12:29:28  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:29:28  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6882 | RTT: 13.44 ms
PING_SEND       | 2026-08-08 12:29:29  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:29:29  | [Transferring_These_Files] Received PONG from 127.0.0.1:6881 | RTT: 11.07 ms
PING_SEND       | 2026-08-08 12:29:29  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:29:29  | [Transferring_These_Files] Received PONG from 127.0.0.1:6882 | RTT: 12.98 ms
SYSTEM_READY    | 2026-08-08 12:29:30  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 12:29:36  | Received PING from ('127.0.0.1', 9431)
PING_RECV       | 2026-08-08 12:29:37  | Received PING from ('127.0.0.1', 9434)
PING_RECV       | 2026-08-08 12:29:38  | Received PING from ('127.0.0.1', 9439)
PING_RECV       | 2026-08-08 12:29:47  | Received PING from ('127.0.0.1', 9451)
PING_RECV       | 2026-08-08 12:29:48  | Received PING from ('127.0.0.1', 9454)
PING_RECV       | 2026-08-08 12:29:49  | Received PING from ('127.0.0.1', 9457)
ANNOUNCE        | 2026-08-08 12:29:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:29:59  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:30:00  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:30:00  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:30:00  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 20.96 ms
PING_SEND       | 2026-08-08 12:30:00  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:30:00  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 14.26 ms
PING_RECV       | 2026-08-08 12:30:08  | Received PING from ('127.0.0.1', 9482)
PING_RECV       | 2026-08-08 12:30:19  | Received PING from ('127.0.0.1', 9498)
ANNOUNCE        | 2026-08-08 12:30:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:30:29  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:30:30  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:30:30  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:30:30  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 12.72 ms
PING_SEND       | 2026-08-08 12:30:30  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:30:30  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 12.35 ms
PING_RECV       | 2026-08-08 12:30:38  | Received PING from ('127.0.0.1', 9522)
PING_RECV       | 2026-08-08 12:30:49  | Received PING from ('127.0.0.1', 9530)
ANNOUNCE        | 2026-08-08 12:30:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:30:59  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:31:00  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:31:00  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:31:00  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 22.21 ms
PING_SEND       | 2026-08-08 12:31:00  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:31:00  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 12.92 ms
PING_RECV       | 2026-08-08 12:31:08  | Received PING from ('127.0.0.1', 9556)
PING_RECV       | 2026-08-08 12:31:19  | Received PING from ('127.0.0.1', 9570)
ANNOUNCE        | 2026-08-08 12:31:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:31:29  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:31:30  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:31:30  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:31:30  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 12.08 ms
PING_SEND       | 2026-08-08 12:31:30  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:31:30  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 13.96 ms
PING_RECV       | 2026-08-08 12:31:38  | Received PING from ('127.0.0.1', 9592)
PING_RECV       | 2026-08-08 12:31:50  | Received PING from ('127.0.0.1', 9601)
ANNOUNCE        | 2026-08-08 12:31:58  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:31:59  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:32:00  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:32:01  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:32:01  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 10.96 ms
PING_SEND       | 2026-08-08 12:32:01  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:32:01  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 12.19 ms
PING_RECV       | 2026-08-08 12:32:08  | Received PING from ('127.0.0.1', 9633)
PING_RECV       | 2026-08-08 12:32:20  | Received PING from ('127.0.0.1', 9642)
ANNOUNCE        | 2026-08-08 12:32:28  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:32:29  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:32:31  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:32:31  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:32:31  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 15.59 ms
PING_SEND       | 2026-08-08 12:32:31  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 12:32:31  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 14.57 ms
PING_RECV       | 2026-08-08 12:32:38  | Received PING from ('127.0.0.1', 9662)
