==================================================
HEADER
File name: peer_-AA0001-umu1bDNs71pv.log
Creation Date/Time: 2026-08-08 12:22:58
Last Modified Date/Time: 2026-08-08 12:26:12
==================================================
BODY
Event Type      | Date/Time            | Description
--------------------------------------------------
PORT_BUSY       | 2026-08-08 12:22:58  | Port 6881 in use. Trying next...
LISTENER_START  | 2026-08-08 12:22:58  | Peer listening for direct connections on port 6882
PING_SEND       | 2026-08-08 12:22:59  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:22:59  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6881 | RTT: 12.81 ms
PING_SEND       | 2026-08-08 12:23:00  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:23:00  | [Transferring_These_Files] Received PONG from 127.0.0.1:6881 | RTT: 14.15 ms
SYSTEM_READY    | 2026-08-08 12:23:01  | All torrent threads processed. Entering heartbeat loop.
PING_RECV       | 2026-08-08 12:23:13  | Received PING from ('127.0.0.1', 8910)
PING_RECV       | 2026-08-08 12:23:14  | Received PING from ('127.0.0.1', 8912)
PING_RECV       | 2026-08-08 12:23:15  | Received PING from ('127.0.0.1', 8914)
ANNOUNCE        | 2026-08-08 12:23:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:23:30  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:23:31  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 12:23:31  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:23:31  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 11.41 ms
PING_RECV       | 2026-08-08 12:23:45  | Received PING from ('127.0.0.1', 8946)
PING_RECV       | 2026-08-08 12:23:59  | Received PING from ('127.0.0.1', 8957)
ANNOUNCE        | 2026-08-08 12:23:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 12:23:59  | [Transferring_These_Files/sample3.png] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 12:23:59  | [Transferring_These_Files/sample3.png] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:23:59  | [Transferring_These_Files/sample3.png] Received PONG from 127.0.0.1:6883 | RTT: 16.08 ms
PING_RECV       | 2026-08-08 12:24:00  | Received PING from ('127.0.0.1', 8962)
ANNOUNCE        | 2026-08-08 12:24:00  | [Transferring_These_Files] Sending periodic update to tracker...
NEW_PEER        | 2026-08-08 12:24:00  | [Transferring_These_Files] Discovered new peer 127.0.0.1:6883 from tracker update
PING_SEND       | 2026-08-08 12:24:00  | [Transferring_These_Files] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:24:00  | [Transferring_These_Files] Received PONG from 127.0.0.1:6883 | RTT: 11.82 ms
HEARTBEAT_SYNC  | 2026-08-08 12:24:01  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:24:01  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_SUCCESS    | 2026-08-08 12:24:01  | [Heartbeat] Received PONG from 127.0.0.1:6881 | RTT: 15.14 ms
PING_SEND       | 2026-08-08 12:24:01  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:24:01  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 13.95 ms
PING_RECV       | 2026-08-08 12:24:15  | Received PING from ('127.0.0.1', 8992)
ANNOUNCE        | 2026-08-08 12:24:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:24:30  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:24:31  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:24:31  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_RECV       | 2026-08-08 12:24:33  | Received PING from ('127.0.0.1', 9012)
PING_FAIL       | 2026-08-08 12:24:33  | [Heartbeat] Failed to ping 127.0.0.1:6881 - timed out
PING_SEND       | 2026-08-08 12:24:33  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:24:33  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 11.00 ms
ANNOUNCE        | 2026-08-08 12:24:59  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:25:00  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:25:03  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:25:03  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_RECV       | 2026-08-08 12:25:05  | Received PING from ('127.0.0.1', 9032)
PING_FAIL       | 2026-08-08 12:25:05  | [Heartbeat] Failed to ping 127.0.0.1:6881 - timed out
PING_SEND       | 2026-08-08 12:25:05  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:25:05  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 14.29 ms
ANNOUNCE        | 2026-08-08 12:25:29  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:25:30  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:25:35  | Initiating periodic ping to 2 known peers
PING_SEND       | 2026-08-08 12:25:35  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6881
PING_RECV       | 2026-08-08 12:25:37  | Received PING from ('127.0.0.1', 9068)
PING_FAIL       | 2026-08-08 12:25:37  | [Heartbeat] Failed to ping 127.0.0.1:6881 - timed out
PING_SEND       | 2026-08-08 12:25:37  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6883
PING_SUCCESS    | 2026-08-08 12:25:37  | [Heartbeat] Received PONG from 127.0.0.1:6883 | RTT: 11.91 ms
ANNOUNCE        | 2026-08-08 12:26:00  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 12:26:00  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 12:26:07  | Initiating periodic ping to 2 known peers
